import time: self [us] | cumulative | imported package
import time:      1101 |       2670 |             anyio.streams.stapled
import time:       946 |        946 |             anyio.streams.tls
import time:      5429 |       5429 |                     _heapq
import time:      1724 |       7152 |                   heapq
import time:      1344 |       1344 |                     fcntl
import time:        42 |         42 |                     msvcrt
import time:      2355 |       2355 |                     _posixsubprocess
import time:      1256 |       4996 |                   subprocess
import time:       229 |        229 |                   asyncio.constants
import time:       186 |        186 |                       asyncio.format_helpers
import time:       367 |        552 |                     asyncio.base_futures
import time:       163 |        163 |                     asyncio.log
import time:      1060 |       1775 |                   asyncio.coroutines
import time:       307 |        307 |                       asyncio.exceptions
import time:       207 |        207 |                       asyncio.base_tasks
import time:      2010 |       2524 |                     _asyncio
import time:       357 |       2881 |                   asyncio.events
import time:       301 |        301 |                   asyncio.futures
import time:       222 |        222 |                   asyncio.protocols
import time:       239 |        239 |                     asyncio.transports
import time:       374 |        613 |                   asyncio.sslproto
import time:       182 |        182 |                       asyncio.mixins
import time:       300 |        300 |                       asyncio.tasks
import time:       232 |        713 |                     asyncio.locks
import time:       265 |        978 |                   asyncio.staggered
import time:       201 |        201 |                   asyncio.trsock
import time:       854 |      20195 |                 asyncio.base_events
import time:       186 |        186 |                 asyncio.runners
import time:       220 |        220 |                 asyncio.queues
import time:       280 |        280 |                 asyncio.streams
import time:       183 |        183 |                 asyncio.subprocess
import time:       177 |        177 |                 asyncio.threads
import time:       275 |        275 |                   asyncio.base_subprocess
import time:      1021 |       1021 |                   asyncio.selector_events
import time:       455 |       1750 |                 asyncio.unix_events
import time:       501 |      23489 |               asyncio
import time:         8 |      23497 |             asyncio.coroutines
import time:       887 |      60955 |           anyio._core._sockets
import time:       924 |        924 |             anyio.streams.memory
import time:       200 |       1123 |           anyio._core._streams
import time:       208 |        208 |           anyio._core._subprocesses
import time:      1271 |       1271 |                 zlib
import time:       187 |        187 |                   _compression
import time:      1163 |       1163 |                   _bz2
import time:       235 |       1584 |                 bz2
import time:      2313 |       2313 |                   _lzma
import time:       259 |       2571 |                 lzma
import time:       426 |       5850 |               shutil
import time:       445 |       6295 |             tempfile
import time:       469 |       6764 |           anyio._core._tempfile
import time:       380 |      91404 |         anyio
import time:      9709 |       9709 |                       pydantic_core._pydantic_core
import time:       371 |        371 |                             numbers
import time:      2562 |       2932 |                           _decimal
import time:       193 |       3125 |                         decimal
import time:      5014 |       8138 |                       pydantic_core.core_schema
import time:       354 |      18200 |                     pydantic_core
import time:       216 |      18415 |                   pydantic.version
import time:       289 |      18704 |                 pydantic.warnings
import time:       317 |      19021 |               pydantic._migration
import time:       664 |        664 |                   typing_inspection
import time:       794 |        794 |                   typing_inspection.typing_objects
import time:       484 |       1940 |                 typing_inspection.introspection
import time:       203 |        203 |                 pydantic._internal
import time:       369 |        369 |                     pydantic._internal._namespace_utils
import time:       454 |        822 |                   pydantic._internal._typing_extra
import time:      1267 |       2089 |                 pydantic._internal._repr
