import time: self [us] | cumulative | imported package
import time:       231 |        231 |                         cryptography.hazmat.primitives.asymmetric.mldsa
import time:       240 |        240 |                         cryptography.hazmat.primitives.asymmetric.padding
import time:       110 |        110 |                         cryptography.hazmat.primitives.asymmetric.x448
import time:       108 |        108 |                         cryptography.hazmat.primitives.asymmetric.x25519
import time:       148 |        148 |                           cryptography.hazmat.primitives.asymmetric.dh
import time:       130 |        130 |                           cryptography.hazmat.primitives.asymmetric.mlkem
import time:       169 |        446 |                         cryptography.hazmat.primitives.asymmetric.types
import time:        87 |         87 |                           cryptography.hazmat.primitives.constant_time
import time:       127 |        127 |                             cryptography.hazmat.primitives.serialization.base
import time:        43 |         43 |                                       org
import time:         8 |         51 |                                     org.python
import time:         7 |         57 |                                   org.python.core
import time:       246 |        303 |                                 copy
import time:        30 |         30 |                                     _ast
import time:       666 |        695 |                                   ast
import time:       393 |        393 |                                       _opcode
import time:       242 |        635 |                                     opcode
import time:       376 |       1010 |                                   dis
import time:       214 |        214 |                                     importlib
import time:       231 |        445 |                                   importlib.machinery
import time:       838 |       2986 |                                 inspect
import time:       444 |       3732 |                               dataclasses
import time:       110 |        110 |                                 cryptography.hazmat.primitives._cipheralgorithm
import time:        86 |         86 |                                         cryptography.hazmat.decrepit
import time:       113 |        199 |                                       cryptography.hazmat.decrepit.ciphers
import time:       120 |        120 |                                       cryptography.hazmat.primitives._modes
import time:       139 |        456 |                                     cryptography.hazmat.decrepit.ciphers.modes
import time:       212 |        212 |                                       cryptography.hazmat.decrepit.ciphers.algorithms
import time:       135 |        347 |                                     cryptography.hazmat.primitives.ciphers.algorithms
import time:       215 |       1018 |                                   cryptography.hazmat.primitives.ciphers.modes
import time:       360 |       1377 |                                 cryptography.hazmat.primitives.ciphers.base
import time:       109 |       1595 |                               cryptography.hazmat.primitives.ciphers
import time:       645 |        645 |                                 bcrypt._bcrypt
import time:       133 |        777 |                               bcrypt
import time:       871 |       6974 |                             cryptography.hazmat.primitives.serialization.ssh
import time:       109 |       7209 |                           cryptography.hazmat.primitives.serialization
import time:       959 |       8254 |                         cryptography.x509.extensions
import time:       423 |      10778 |                       cryptography.x509.base
import time:       244 |      24185 |                     cryptography.x509
import time:       219 |      24403 |                   joserfc._rfc7517.pem
import time:       242 |      31394 |                 joserfc._rfc7518.rsa_key
import time:       206 |        206 |                     cryptography.hazmat.primitives.kdf
import time:       172 |        378 |                   cryptography.hazmat.primitives.kdf.hkdf
import time:       606 |        606 |                   cryptography.hazmat.primitives.kdf.pbkdf2
import time:       314 |       1297 |                 joserfc._rfc7518.ec_key
import time:        96 |         96 |                   joserfc._rfc8037
import time:       390 |        486 |                 joserfc._rfc8037.okp_key
import time:       198 |      37780 |               joserfc._keys
import time:       608 |      38387 |             joserfc._rfc7515.registry
import time:       112 |        112 |             joserfc._rfc7515.compact
import time:       232 |        232 |             joserfc._rfc7515.json
import time:        85 |         85 |               joserfc._rfc7797
import time:       116 |        201 |             joserfc._rfc7797.util
import time:       137 |        137 |             joserfc._rfc7797.compact
import time:        95 |         95 |             joserfc._rfc7797.json
import time:        78 |         78 |                   joserfc._rfc7518.util
import time:       445 |        523 |                 joserfc._rfc7518.jws_algs
import time:        98 |        620 |               joserfc._rfc8812
import time:       279 |        899 |             joserfc.jwk
import time:        79 |         79 |                 joserfc._rfc7516
import time:       480 |        480 |                 joserfc._rfc7516.models
import time:       185 |        743 |               joserfc._rfc7516.registry
import time:       116 |        116 |                 cryptography.hazmat.primitives.keywrap
import time:        83 |         83 |                   cryptography.hazmat.primitives.kdf.concatkdf
import time:        91 |        173 |                 joserfc._rfc7518.derive_key
import time:       472 |        760 |               joserfc._rfc7518.jwe_algs
import time:       110 |        110 |                 cryptography.hazmat.primitives.padding
import time:       136 |        246 |               joserfc._rfc7518.jwe_encs
import time:       447 |        447 |                 zlib
import time:       102 |        548 |               joserfc._rfc7518.jwe_zips
import time:       105 |        105 |               joserfc._rfc8037.jws_eddsa
import time:       141 |        141 |                 joserfc._rfc9864.jws_eddsa
import time:        97 |        238 |               joserfc._rfc9864
import time:       130 |       2767 |             joserfc.jwa
import time:       302 |      44058 |           joserfc.jws
import time:       133 |        133 |             joserfc._rfc7516.types
import time:       117 |        117 |             joserfc._rfc7516.message
import time:        89 |         89 |             joserfc._rfc7516.compact
import time:       102 |        102 |             joserfc._rfc7516.json
import time:       270 |        709 |           joserfc.jwe
import time:       187 |      50502 |         joserfc.jwt
import time:        83 |         83 |           authlib.oidc
import time:       189 |        189 |             authlib.common.language
import time:        96 |         96 |                         authlib.oauth2.base
import time:       221 |        316 |                       authlib.oauth2.rfc6749.errors
import time:        89 |         89 |                       authlib.oauth2.rfc6749.util
import time:       152 |        556 |                     authlib.oauth2.rfc6749.authenticate_client
import time:       101 |        101 |                       authlib.deprecate
import time:       305 |        305 |                       authlib.oauth2.rfc6749.endpoint
import time:        96 |         96 |                       authlib.oauth2.rfc6749.hooks
import time:       133 |        133 |                       authlib.oauth2.rfc6749.requests
import time:       257 |        890 |                     authlib.oauth2.rfc6749.authorization_server
import time:       121 |        121 |                         authlib.oauth2.rfc6749.grants.base
import time:       234 |        355 |                       authlib.oauth2.rfc6749.grants.authorization_code
import time:       105 |        105 |                       authlib.oauth2.rfc6749.grants.client_credentials
import time:       111 |        111 |                       authlib.oauth2.rfc6749.grants.implicit
import time:       111 |        111 |                       authlib.oauth2.rfc6749.grants.refresh_token
import time:       105 |        105 |                       authlib.oauth2.rfc6749.grants.resource_owner_password_credentials
import time:       110 |        894 |                     authlib.oauth2.rfc6749.grants
import time:       207 |        207 |                     authlib.oauth2.rfc6749.models
import time:       142 |        142 |                     authlib.oauth2.rfc6749.resource_protector
import time:        87 |         87 |                     authlib.oauth2.rfc6749.token_endpoint
import time:        85 |         85 |                     authlib.oauth2.rfc6749.wrappers
import time:       135 |       2993 |                   authlib.oauth2.rfc6749
import time:       133 |        133 |                     authlib.oauth2.rfc6750.errors
import time:        83 |         83 |                     authlib.oauth2.rfc6750.parameters
import time:        88 |         88 |                     authlib.oauth2.rfc6750.token
import time:        86 |         86 |                     authlib.oauth2.rfc6750.validator
import time:        97 |        485 |                   authlib.oauth2.rfc6750
import time:       159 |       3635 |                 authlib.oauth2.auth
import time:       198 |        198 |                   authlib.oauth2.rfc6749.parameters
import time:       105 |        105 |                     authlib.oauth2.rfc7009.parameters
import time:        94 |         94 |                     authlib.oauth2.rfc7009.revocation
import time:        88 |        286 |                   authlib.oauth2.rfc7009
import time:       180 |        180 |                     authlib.oauth2.rfc7636.challenge
import time:        93 |        272 |                   authlib.oauth2.rfc7636
import time:       134 |        889 |                 authlib.oauth2.client
import time:       105 |       4629 |               authlib.oauth2
import time:       180 |       4808 |             authlib.oauth2.claims
import time:        85 |         85 |             authlib.oidc.core.util
import time:       256 |       5336 |           authlib.oidc.core.claims
import time:        83 |         83 |               authlib._joserfc_helpers
import time:        83 |         83 |               authlib.oidc.core.models
import time:        90 |         90 |               authlib.oidc.core.grants._legacy
import time:       141 |        141 |                 authlib.oidc.core.errors
import time:       148 |        289 |               authlib.oidc.core.grants.util
import time:       160 |        704 |             authlib.oidc.core.grants.code
import time:       125 |        125 |               authlib.oidc.core.grants.implicit
