import time: self [us] | cumulative | imported package
import time:       442 |        739 |               pydantic._internal._typing_extra
import time:       233 |        972 |             pydantic._internal._repr
import time:       321 |       2860 |           pydantic.errors
import time:       323 |      10208 |         pydantic
import time:       468 |        468 |           pydantic._internal._internal_dataclass
import time:       570 |       1037 |         pydantic.aliases
import time:       284 |        284 |         pydantic._internal._config
import time:       166 |        166 |             pydantic._internal._import_utils
import time:       549 |        714 |           pydantic._internal._utils
import time:       178 |        892 |         pydantic._internal._signature
import time:       199 |        199 |             pydantic._internal._core_utils
import time:      1751 |       1950 |           pydantic._internal._decorators
import time:       465 |        465 |               pydantic.plugin
import time:       191 |        656 |             pydantic.plugin._schema_validator
import time:       306 |        961 |           pydantic._internal._mock_val_ser
import time:      3233 |       3233 |               annotated_types
import time:       338 |        338 |                     sysconfig
import time:       395 |        395 |                     _sysconfigdata__darwin_darwin
import time:       320 |        320 |                     _osx_support
import time:       664 |       1716 |                   zoneinfo._tzpath
import time:       186 |        186 |                   zoneinfo._common
import time:       802 |        802 |                   _zoneinfo
import time:       228 |       2930 |                 zoneinfo
import time:       252 |       3182 |               pydantic._internal._validators
import time:       308 |        308 |                     pydantic._internal._forward_ref
import time:       914 |       1222 |                   pydantic._internal._generics
import time:       215 |        215 |                   pydantic._internal._docs_extraction
import time:       503 |       1939 |                 pydantic._internal._fields
import time:       125 |        125 |                 pydantic.annotated_handlers
import time:       205 |        205 |                   pydantic._internal._core_metadata
import time:       144 |        144 |                   pydantic._internal._schema_generation_shared
import time:      6345 |       6693 |                 pydantic.json_schema
import time:      2820 |      11577 |               pydantic.types
import time:      1117 |      19107 |             pydantic.fields
import time:      1411 |       1411 |               pydantic.functional_validators
import time:       222 |        222 |               pydantic._internal._discriminated_union
import time:       198 |        198 |               pydantic._internal._known_annotated_metadata
import time:       364 |        364 |               pydantic._internal._schema_gather
import time:       571 |       2763 |             pydantic._internal._generate_schema
import time:       251 |      22120 |           pydantic._internal._dataclasses
import time:       319 |      25348 |         pydantic.dataclasses
import time:       294 |        294 |           pydantic._internal._model_construction
import time:       529 |        822 |         pydantic.main
import time:       132 |        132 |             pydantic_settings.utils
import time:       262 |        262 |             pydantic_settings.sources.types
import time:        98 |         98 |               pydantic.plugin._loader
import time:      8382 |       8479 |             pydantic_settings.sources.utils
import time:       573 |       9445 |           pydantic_settings.sources.base
import time:       278 |        278 |                 pydantic_settings.sources.providers.env
import time:       149 |        427 |               pydantic_settings.sources.providers.aws
import time:        97 |         97 |                 pydantic.alias_generators
import time:       251 |        347 |               pydantic_settings.sources.providers.azure
import time:      1400 |       1400 |               pydantic_settings.sources.providers.cli
import time:       778 |        778 |                     dotenv.parser
import time:       236 |        236 |                     dotenv.variables
import time:       454 |       1467 |                   dotenv.main
import time:       141 |       1608 |                 dotenv
import time:       329 |       1937 |               pydantic_settings.sources.providers.dotenv
import time:       162 |        162 |               pydantic_settings.sources.providers.gcp
import time:       114 |        114 |               pydantic_settings.sources.providers.json
import time:       104 |        104 |                 pydantic_settings.sources.providers.toml
import time:       108 |        212 |               pydantic_settings.sources.providers.pyproject
import time:       116 |        116 |               pydantic_settings.sources.providers.secrets
import time:       102 |        102 |               pydantic_settings.sources.providers.yaml
import time:       145 |       4958 |             pydantic_settings.sources.providers
import time:        10 |       4967 |           pydantic_settings.sources.providers.aws
import time:       285 |        285 |           pydantic_settings.sources.providers.nested_secrets
import time:       260 |      14956 |         pydantic_settings.sources
import time:      1320 |      55488 |       pydantic_settings.main
import time:        95 |         95 |       pydantic_settings.version
import time:       179 |      56359 |     pydantic_settings
import time:       627 |      57030 |   backend.app.core.config
import time:      1686 |     245177 | backend.app.auth.oauth
